,umich_user_id,answer_count,average_answer_length,total_votes_given_answers,total_votes_received_answers,question_count,average_question_length,total_votes_given_questions,total_votes_received_questions,total_questions_following,country_cd_US,is_female,bachelor_obtained,white,completed
39,523479b5dfa843c667cf5a3ba22c0d1e9781a8d0,3.0,664.6666666666666,0.0,1.0,0.0,664.6666666666666,0.0,0.0,0.0,1,1,1,0,0
40,dfcc36b300ef9a924b0684aa907dac62a10988ea,3.0,169.33333333333334,0.0,0.0,0.0,169.33333333333334,0.0,0.0,0.0,1,0,0,1,0
41,4c65415b5d553b8f447ddd2a490b9d8cebdd2356,10.0,299.8,3.0,0.0,0.0,299.8,0.0,0.0,0.0,1,1,0,1,1
42,56cfc335dbfaa4eb3d932b1a46d4b397e9326144,14.0,957.5,30.0,0.0,0.0,957.5,0.0,0.0,0.0,1,0,0,1,1
43,79414698b27a76b347257d68e4e7175c5a617708,7.0,439.7142857142857,3.0,0.0,0.0,439.7142857142857,0.0,4.0,0.0,1,0,0,0,0
44,e25cfe366973519fd1889089c1d8c879a2886ac7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0
45,c0f0796cdd48ee39dabd1fcc41cfbac6e5d2b827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
46,70299ba2f5133abd4aed367aff65d4d7066f2345,16.0,338.375,3.0,0.0,0.0,338.375,0.0,3.0,0.0,1,1,1,1,0
47,2a12f399f6d9b995b423d15a10f77296f07f1f70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0
48,02bf5b4aaae97ffe6a60ffdbf20ff32ae9e5f2c7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
49,b09ae1b1e6433b508bb9f5221908e9e1f4e2f391,20.0,648.75,1.0,3.0,0.0,648.75,0.0,1.0,0.0,1,1,0,1,1
50,ecf3c658b897de7a1340d10533aa350311b67e62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
51,4dac91637415d11a73393e6e51a2d57ecb2c10be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0
52,04d598c7163af36ce85b21f3a136ef51ec7e4987,18.0,346.8333333333333,1.0,4.0,1.0,346.8333333333333,0.0,0.0,1.0,1,1,0,1,1
53,805976c8020a75149029d2aac2a80d6ec240e63a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
54,2690d5a97e7c929ce3395a875eb24675b5208848,11.0,520.6363636363636,1.0,2.0,0.0,520.6363636363636,0.0,0.0,0.0,1,1,0,1,1
55,5619978dc4cc7f0b49c04bf320d84989b8b99065,7.0,1761.7142857142858,1.0,2.0,0.0,1761.7142857142858,0.0,5.0,0.0,1,0,1,1,0
56,ef69002f879af5b4ba34d3801b147334a4cd6928,4.0,452.5,0.0,0.0,0.0,452.5,0.0,4.0,0.0,1,1,0,1,0
57,d7cf42252f66300baa3e8518e5d9ae1c5301f463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0
58,2061aa70301271f33a43a120f1e50a05f1f9d4e0,4.0,439.5,0.0,3.0,0.0,439.5,0.0,0.0,0.0,1,1,1,0,1
59,dfbaaedca9804e952bd2d98cdab608e1dff78d8c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
60,ea9ee48a74dab7cb0407977a3885e2f542fec56e,1.0,367.0,0.0,1.0,0.0,367.0,0.0,0.0,0.0,1,1,1,0,0
61,1136095ecb389f59128b080b4714a7b38ef65d24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0
62,e20aeea3b5d1a763372e140b8dd01b07879eda83,10.0,679.2,1.0,1.0,0.0,679.2,0.0,1.0,0.0,1,0,0,0,0
63,e20aeea3b5d1a763372e140b8dd01b07879eda83,10.0,679.2,1.0,1.0,0.0,679.2,0.0,1.0,0.0,1,0,0,0,0
64,89d70cedb56bed5621b62dc8b84a7f0d8bd6224a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
65,4d915d4c51ed9d6042975500f343869fc7d90926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
66,dc25c7bfcd79e58af0e2b5c39a698e41116b8ff9,8.0,575.25,0.0,5.0,0.0,575.25,0.0,5.0,0.0,1,0,0,0,1
67,f5a059054271597d98cbe9e5ae211b95a435f4f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0
68,7a8dc983844d1c908ae8acea47ba5e15c3f4ed58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1
69,2d5f8b114993f4b56a3e8831e59a4d95daffd6e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0
70,0482e2fe9381d9e9d07a782146b9ad0f0ee831aa,1.0,104.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,1,1,1,0,0
71,eb68a149db5f626d787b10b610aa97358adc2714,9.0,583.6666666666666,0.0,0.0,0.0,583.6666666666666,0.0,0.0,0.0,1,1,0,1,1
72,3ce645af34350d714502673c0ef687fc82a25bbf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0
73,f88323315a338e57572335e2c716fd075590bbf7,7.0,760.5714285714286,0.0,4.0,0.0,760.5714285714286,0.0,0.0,0.0,1,0,1,1,1
74,6712d4528affb030d784cdab45ce2c92f890d75d,15.0,701.9333333333333,0.0,1.0,1.0,701.9333333333333,0.0,1.0,1.0,1,1,0,1,1
75,c72bc82888e6504ab773343cb28ffd82f93323fd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0
76,ac1a794d231a9cd51234d45a84c43adc47a421a5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0
77,0edd0519c86b37bf52e846cc3c890895003ed01d,19.0,456.4736842105263,0.0,0.0,0.0,456.4736842105263,0.0,0.0,0.0,0,1,1,0,1
78,53bb22ef3454efa815e4c9777a78e07e1e052d50,12.0,943.1666666666666,0.0,0.0,0.0,943.1666666666666,0.0,0.0,0.0,1,1,1,1,1
